"","YEAR","RECR_TPA","MORT_TPA","REMV_TPA","RECR_PERC","MORT_PERC","REMV_PERC","RECR_TPA_SE","MORT_TPA_SE","REMV_TPA_SE","RECR_PERC_SE","MORT_PERC_SE","REMV_PERC_SE","nPlots_TREE","nPlots_RECR","nPlots_MORT","nPlots_REMV","nPlots_AREA"
"1",2005,0,0.217729044460142,0,0,0.802080405507139,0,NA,15.9544737532511,NA,NA,8.00085945259443,NA,253,0,84,0,1536
"2",2006,0,0.29007112477778,0,0,1.15992878581525,0,NA,17.0101559899751,NA,NA,7.13668806959042,NA,310,0,106,0,1916
"3",2007,0,0.376367281695182,0,0,1.66121816138239,0,NA,16.1057459610254,NA,NA,6.90520175115241,NA,361,0,137,0,2326
"4",2008,0,0.534413975969946,0,0,2.32601631584715,0,NA,14.3548372129601,NA,NA,6.78565530250308,NA,420,0,171,0,2712
"5",2009,0,0.807936156108921,0,0,3.62850037086835,0,NA,12.6262730577309,NA,NA,6.58551562818298,NA,481,0,208,0,3129
"6",2010,0,0.852559499210775,0,0,4.16036003297497,0,NA,11.5446921850713,NA,NA,6.23544048927588,NA,539,0,241,0,3535
"7",2011,0,0.892185261348433,0,0,4.34237966917034,0,NA,10.5951459885799,NA,NA,6.31514419954218,NA,591,0,273,0,3935
"8",2012,0,0.912889084284247,0.000806060864169208,0,4.74156198966477,0.00418669433198195,NA,9.56478513220137,107.383582618219,NA,6.37444880523086,6.47964025843983,587,0,288,1,3949
"9",2013,0,0.990993388992498,0.0117693333630346,0,5.25930857910476,0.062461118927828,NA,8.46802308801072,74.5602616934612,NA,6.4109931315919,6.49196397746922,581,0,308,3,3946
"10",2014,0,0.981464259159152,0.0328737195235523,0,5.38972776159106,0.180526592883416,NA,7.76989492130534,43.7323390789611,NA,6.39353692347463,6.42658587337438,578,0,338,8,3952
"11",2015,0,1.04793112187416,0.03379913902657,0,5.6877408838629,0.183447882086923,NA,7.06864816788103,39.5003664842823,NA,6.57471542321426,6.60598037680229,573,0,357,10,3902
"12",2016,0,1.01829993147833,0.0467850261793668,0,5.92497385089821,0.272218477245606,NA,6.74943853508142,32.2197908403471,NA,6.47288292903415,6.49660044818589,570,0,371,16,3938
"13",2017,0,0.920049759871128,0.0630533348407168,0,5.74357819648293,0.393621926772097,NA,6.77109930193108,32.2952051893553,NA,6.52553979401509,6.55690818980978,565,0,375,19,3947
"14",2018,0,0.843231153286812,0.0618280354298824,0,5.10097572379556,0.374017618476827,NA,6.95122068958584,30.4048217446391,NA,6.56742094327144,6.6027993816131,562,0,373,21,3953
"15",2019,0,0.71813998083242,0.0538432245896394,0,4.33912617856951,0.325330091056469,NA,7.12604789702808,30.4830953631625,NA,6.72030537830139,6.75550925458022,559,0,368,22,3954
